Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
A TARDE,CARAPICUIBA,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Azul,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
DE MADRUGADA,BARUERI,Condominio Residencial,Furto (art. 155) - VEICULO,,,0,,,,330,0
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Cinza,0,AUTOMOVEL,OPALA DIPLOMATA SE,GM,6309,1
PELA MANHÃ,FRANCO DA ROCHA,Estacionamento público,Furto (art. 155) - VEICULO,FRANCO DA ROCHA,Cinza,0,AUTOMOVEL,CORSA HATCH MAXX,GM,962,35
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Azul,0,AUTOMOVEL,VW NOVO SPACEFOX CL MA,I,6309,2
DE MADRUGADA,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Amarelo,0,MOTOCICLO,CBX 250 TWISTER,HONDA,6309,111
A TARDE,S.CAETANO DO SUL,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,AUTOMOVEL,DUSTER 20 D 4X2A,RENAULT,6309,16
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,CORSA GL 1.6,GM,6309,25
A TARDE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,HONDA CITY EX FLEX,I,6309,4
A NOITE,FERRAZ DE VASCONCELOS,Via Pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Preta,0,AUTOMOVEL,ONIX 1.4MT LTZ,CHEVROLET,6309,102
A TARDE,S.ANDRE,Via pública,Entrega de veículo localizado/apreendido,,,0,,,,22353,0
A TARDE,S.ANDRE,Via pública,Entrega de veículo localizado/apreendido,BELO HORIZONTE,Prata,2022,AUTOMOVEL,HB20 1.0M 1.0 M,HYUNDAI,22353,89
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2022,AUTOMOVEL,HB20 1.0M 1.0 M,HYUNDAI,22353,89
A TARDE,VARGEM GRANDE PAULISTA,Estacionamento público,Furto (art. 155) - VEICULO,PORTO SEGURO,Vermelho,0,MOTOCICLO,NXR 160 BROS,HONDA,962,23
EM HORA INCERTA,FRANCO DA ROCHA,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2013,AUTOMOVEL,UNO MILLE ECONOMY,FIAT,22353,45
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,PRISMA 1.4MT LT,CHEV,6309,127
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Preta,0,AUTOMOVEL,KA SE 1.0 HA,FORD,6309,170
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Cinza,0,AUTOMOVEL,PRISMA 1.4MT LTZ,CHEV,6309,50
A TARDE,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Prata,0,AUTOMOVEL,CORSA MILENIUM,GM,6309,132
A NOITE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SUZANO,Branco,0,AUTOMOVEL,COBALT 1.4 LT,CHEVROLET,6309,72
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Preta,0,AUTOMOVEL,KA SE 1.0 HA,FORD,6309,170
A NOITE,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Prata,0,AUTOMOVEL,KA SE PLUS 1.0 HA C,FORD,6309,30
A NOITE,OSASCO,Residência,Furto (art. 155) - VEICULO,OSASCO,Vermelho,2022,MOTOCICLO,CG 160 TITAN,HONDA,1162,662
EM HORA INCERTA,OSASCO,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Vermelho,2019,AUTOMOVEL,KA SE 1.0 HA C,FORD,22353,175
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Preta,0,Não Informado,KA SE PLUS 1.0 HA C,FORD,6309,30
DE MADRUGADA,MAUA,Via pública,Furto (art. 155) - VEICULO,RIBEIRAO PIRES,Prata,2020,AUTOMOVEL,UNO ATTRACTIVE 1.0,FIAT,22353,126
A TARDE,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
A TARDE,S.BERNARDO DO CAMPO,Via pública,Localização/Apreensão e Entrega de veículo,S.BERNARDO DO CAMPO,Cinza,2022,CAMIONETA,COMPASS LONG TF,JEEP,22353,7
A TARDE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A TARDE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Cinza,2022,CAMIONETA,COMPASS LONG TF,JEEP,22353,7
DE MADRUGADA,OSASCO,Via pública,Furto (art. 155) - VEICULO,SANTANA DE PARNAIBA,Branco,1998,MICRO-ONIBUS,MBENZ 310D SPRINTERM,IMP,22353,1
PELA MANHÃ,TABOAO DA SERRA,Residência,Furto (art. 155) - VEICULO,TABOAO DA SERRA,Vermelho,2022,MOTOCICLO,CG 160 TITAN,HONDA,1162,662
DE MADRUGADA,BARUERI,Via pública,Furto (art. 155) - VEICULO,CARAPICUIBA,Azul,2003,AUTOMOVEL,UNO MILLE FIRE,FIAT,22353,39
DE MADRUGADA,CARAPICUIBA,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
DE MADRUGADA,CARAPICUIBA,Via pública,Localização/Apreensão e Entrega de veículo,BELO HORIZONTE,Prata,2020,AUTOMOVEL,MOBI LIKE,FIAT,22353,349
DE MADRUGADA,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
DE MADRUGADA,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2020,AUTOMOVEL,MOBI LIKE,FIAT,22353,349
PELA MANHÃ,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,SENADOR AMARAL,Branco,2012,AUTOMOVEL,MONTANA LS,CHEVROLET,22353,50
A TARDE,MOGI DAS CRUZES,Via pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Azul,1992,AUTOMOVEL,GOL CL,VW,22353,103
PELA MANHÃ,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Branco,0,AUTOMOVEL,HB20S 1.0M COMF,HYUNDAI,6309,36
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,SPIN 1.8L AT ACT7,CHEV,6309,30
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Branco,0,AUTOMOVEL,KWID ZEN 10MT,RENAULT,6309,104
EM HORA INCERTA,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Branco,2001,CAMINHONETE,FIORINO IE,FIAT,22353,77
DE MADRUGADA,CARAPICUIBA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,Não Informado,17.230 CRM 4X2,VW,6309,1
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,ONIX 1.0MT LT,CHEVROLET,6309,438
EM HORA INCERTA,ITAQUAQUECETUBA,Via pública,Furto (art. 155) - VEICULO,FERRAZ DE VASCONCELO,Prata,2019,AUTOMOVEL,VOYAGE 1.6L MB5,VW,22353,107
EM HORA INCERTA,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.ANDRE,Prata,2018,AUTOMOVEL,KA SE 1.5 HA B,FORD,22353,28
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Preta,0,AUTOMOVEL,FIESTA HA 1.5L S,FORD,6309,13
DE MADRUGADA,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Branco,0,AUTOMOVEL,KOMBI FURGAO,VW,6309,13
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,PEUGEOT 207 HB ACTIVE,I,6309,1
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Preta,0,AUTOMOVEL,GM CORSA WIND,IMP,6309,14
A NOITE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Vermelho,0,MOTOCICLO,HONDA CG 125,H,6309,14
A TARDE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Branco,2018,AUTOMOVEL,UP CROSS MDV,VW,22353,19
DE MADRUGADA,S.ANDRE,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Verde,0,MOTOCICLO,CG 150 TITAN KS,HONDA,952,136
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.CAETANO DO SUL,Prata,2018,AUTOMOVEL,COBALT 18A ELI,CHEVROLET,22353,36
DE MADRUGADA,SUZANO,Residência,Entrega de veículo localizado/apreendido,,,0,,,,1162,0
DE MADRUGADA,SUZANO,Residência,Localização/Apreensão de veículo,,,0,,,,1162,0
DE MADRUGADA,SUZANO,Residência,Furto (art. 155) - VEICULO,,,0,,,,1162,0
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Azul,0,AUTOMOVEL,SPIN 1.8L AT LT,CHEV,6309,49
A TARDE,ITAPECERICA DA SERRA,Via pública,Furto (art. 155) - VEICULO,CARAPICUIBA,Prata,2002,AUTOMOVEL,KA GL,FORD,22353,17
PELA MANHÃ,CARAPICUIBA,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,,,0,,,,952,0
PELA MANHÃ,DIADEMA,Condominio Comercial,Furto (art. 155) - VEICULO,CAMPINAS,Preta,2021,MOTOCICLO,CG 160 FAN,HONDA,36,1278
A TARDE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,6309,319
A NOITE,S.BERNARDO DO CAMPO,Via pública,Entrega de veículo localizado/apreendido,,,0,,,,22353,0
A NOITE,S.BERNARDO DO CAMPO,Via pública,Entrega de veículo localizado/apreendido,PRAIA GRANDE,Vermelho,2006,MOTOCICLO,FAZER YS250,YAMAHA,22353,134
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,PRAIA GRANDE,Vermelho,2006,MOTOCICLO,FAZER YS250,YAMAHA,22353,134
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Vermelho,0,AUTOMOVEL,FOX RUN MBV,VW,6309,16
DE MADRUGADA,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2019,AUTOMOVEL,KA SE 1.0 SD C,FORD,22353,55
A TARDE,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Cinza,0,AUTOMOVEL,ONIX 10MT JOYE,CHEVROLET,6309,211
A TARDE,BARUERI,Via pública,Furto (art. 155) - VEICULO,BARUERI,Prata,2022,MOTOCICLO,CG 160 START,HONDA,22353,433
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2017,AUTOMOVEL,HB20X 1.6A PREMI,HYUNDAI,22353,11
A NOITE,SANTANA DE PARNAIBA,Comércio e serviços,Furto (art. 155) - VEICULO,S.PAULO,Preta,2021,CAMIONETA,RENEGADE LNGTD AT,JEEP,603,19
DE MADRUGADA,OSASCO,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,ARAPIRACA,Branco,0,AUTOMOVEL,FIAT PALIO ATTRACT 1.0,I,952,78
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Vermelho,0,MOTOCICLO,CG 160 TITAN,HONDA,6309,662
PELA MANHÃ,MOGI DAS CRUZES,Via Pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Vermelho,0,AUTOMOVEL,KA SEL 1.0 HA,FORD,6309,25
EM HORA INCERTA,ARUJA,Via pública,Furto (art. 155) - VEICULO,ARUJA,Prata,2018,AUTOMOVEL,NOVO VOYAGE CL MBV,VW,22353,9
A TARDE,S.ANDRE,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
A TARDE,S.ANDRE,Via pública,Localização/Apreensão e Entrega de veículo,S.ANDRE,Branco,2017,AUTOMOVEL,MOBI LIKE,FIAT,22353,349
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.ANDRE,Branco,2017,AUTOMOVEL,MOBI LIKE,FIAT,22353,349
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.ANDRE,Preta,2015,MOTONETA,LEAD 110,HONDA,22353,116
A TARDE,MAIRIPORA,Via pública,Furto (art. 155) - VEICULO,PRAIA GRANDE,Branco,1972,AUTOMOVEL,VW FUSCA 1500,VW,22353,11
A TARDE,CARAPICUIBA,Via Pública,Furto (art. 155) - VEICULO,COTIA,Branco,0,AUTOMOVEL,RENAULT KGOO EXPRESS16,I,6309,9
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão e Entrega de veículo,BELO HORIZONTE,Prata,2022,MOTOCICLO,CG 160 TITAN EX,HONDA,22353,35
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão e Entrega de veículo,BELO HORIZONTE,Prata,2022,AUTOMOVEL,ARGO 1.0,FIAT,22353,120
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2022,MOTOCICLO,CG 160 TITAN EX,HONDA,22353,35
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2022,AUTOMOVEL,ARGO 1.0,FIAT,22353,120
A TARDE,MAUA,Via pública,Furto (art. 155) - VEICULO,RIBEIRAO PIRES,Prata,2017,AUTOMOVEL,ONIX 1.4AT LTZ,CHEVROLET,22353,150
A TARDE,MAUA,Via pública,Furto (art. 155) - VEICULO,MAUA,Preta,2017,AUTOMOVEL,KA SE 1.5 SD B,FORD,22353,40
PELA MANHÃ,SUZANO,Via pública,Furto (art. 155) - VEICULO,POA,Vermelho,2018,AUTOMOVEL,ARGO DRIVE 1.0,FIAT,22353,368
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Cinza,0,AUTOMOVEL,FIT PERSONAL,HONDA,6309,17
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,CORSA HATCH JOY,GM,6309,8
A TARDE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Prata,2016,AUTOMOVEL,HB20 1.6A COMF,HYUNDAI,22353,27
PELA MANHÃ,MOGI DAS CRUZES,Via pública,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Branco,2014,AUTOMOVEL,NOVO GOL 1.6,VW,22353,10
PELA MANHÃ,S.ANDRE,Local clandestino/ilegal,Localização/Apreensão e Entrega de veículo,,,0,,,,14,0
PELA MANHÃ,S.ANDRE,Local clandestino/ilegal,Furto (art. 155) - VEICULO,,,0,,,,14,0
PELA MANHÃ,S.ANDRE,Local clandestino/ilegal,Receptação (art. 180) - VEICULO,,,0,,,,14,0
A TARDE,MAIRIPORA,Via pública,Furto (art. 155) - VEICULO,MAIRIPORA,Prata,2015,CAMINHONETE,L200 TRITON GL D,MMC,22353,7
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,DIADEMA,Cinza,0,MOTOCICLO,CG 160 START,HONDA,6309,433
A TARDE,MAUA,Via pública,Furto (art. 155) - VEICULO,MAUA,Vermelho,2022,AUTOMOVEL,GOL 1.0L MC4,VW,22353,249
A NOITE,SANTANA DE PARNAIBA,Comércio e serviços,Furto (art. 155) - VEICULO,S.PAULO,Preta,2021,CAMIONETA,RENEGADE LNGTD AT,JEEP,603,19
A TARDE,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Preta,0,MOTOCICLO,CG 160 FAN,HONDA,6309,1278
A TARDE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Branco,2018,AUTOMOVEL,UP CROSS MDV,VW,22353,19
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,MOTOCICLO,LEAD 110,HONDA,6309,116
A TARDE,MAUA,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Preta,0,MOTOCICLO,PCX 150,HONDA,6309,234
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Cinza,0,AUTOMOVEL,HR-V EX CVT,HONDA,6309,42
A TARDE,S.BERNARDO DO CAMPO,Estacionamento com vigilância,Furto (art. 155) - VEICULO,ANÁPOLIS,Cinza,0,AUTOMOVEL,TIGGO7 TXS,CAOACHERY,213,6
PELA MANHÃ,S.CAETANO DO SUL,Estacionamento particular,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Vermelho,0,MOTOCICLO,NMAX,YAMAHA,381,30
A TARDE,OSASCO,Garagem coletiva de prédio,Furto (art. 155) - VEICULO,OSASCO,Azul,0,MOTOCICLO,FZ25 FAZER,YAMAHA,241,205
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,PALIO 1.0 FLEX,FIAT,6309,13
EM HORA INCERTA,ITAPEVI,Via pública,Furto (art. 155) - VEICULO,ITAPEVI,Branco,2021,MOTONETA,PCX 150 DLX ABS,HONDA,22353,9
EM HORA INCERTA,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Cinza,1997,AUTOMOVEL,SANTANA,VW,22353,15
A NOITE,BARUERI,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Vermelho,2021,MOTOCICLO,CG 160 FAN,HONDA,22353,1278
A NOITE,OSASCO,Estacionamento público,Furto (art. 155) - VEICULO,OSASCO,Azul,0,MOTOCICLO,C100 BIZ ES,HONDA,962,7
A NOITE,FERRAZ DE VASCONCELOS,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,CROSSFOX,VW,6309,4
A TARDE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SUZANO,Vermelho,0,MOTOCICLO,CG 160 START,HONDA,6309,433
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,FIAT PALIO FIRE ECONOM,I,6309,8
A NOITE,OSASCO,Estacionamento público,Furto (art. 155) - VEICULO,OSASCO,Amarelo,0,MOTOCICLO,CG 160 TITAN,HONDA,962,662
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Branco,0,AUTOMOVEL,FIT LX MT,HONDA,6309,1
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Verde,0,MOTOCICLO,NX-4 FALCON,HONDA,6309,29
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,MAUÁ,Branco,0,AUTOMOVEL,COBALT 18A LTZ,CHEVROLET,6309,135
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,HYUNDAI I30 1.8,I,6309,19
A NOITE,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,TABOÃO DA SERRA,Prata,0,Não Informado,HYUNDAI I30 2.0,I,6309,216
A NOITE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,ITAQUAQUECETUBA,Vermelho,0,AUTOMOVEL,PALIO ATTRACTIV 1.0,FIAT,6309,96
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Cinza,0,AUTOMOVEL,FIT EX CVT,HONDA,6309,31
A NOITE,S.ANDRE,Estacionamento público,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,CORSA WIND,GM,962,785
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Cinza,0,AUTOMOVEL,FOX CONNECT MB,VW,6309,167
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,MONTANA CONQUEST,GM,6309,12
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,6309,319
DE MADRUGADA,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,HB20 1.6M COMF,HYUNDAI,6309,24
DE MADRUGADA,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Branco,2002,AUTOMOVEL,GOL SPECIAL,VW,22353,196
PELA MANHÃ,MAUA,Via Pública,Furto (art. 155) - VEICULO,RIBEIRÃO PIRES,Branco,0,AUTOMOVEL,ARGO DRIVE 1.0,FIAT,6309,368
PELA MANHÃ,GUARULHOS,Via pública,Entrega de veículo localizado/apreendido,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Entrega de veículo localizado/apreendido,GUARULHOS,Vermelho,2012,MOTOCICLO,XRE 300,HONDA,22353,149
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Vermelho,2012,MOTOCICLO,XRE 300,HONDA,22353,149
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,GOL 1000I,VW,6309,68
A TARDE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Cinza,0,AUTOMOVEL,MONTANA LS2,CHEVROLET,6309,28
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,MOTOCICLO,PCX 150,HONDA,6309,234
A NOITE,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,POMPEIA,Branco,2017,AUTOMOVEL,NOVO GOL TL MCV,VW,22353,44
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,HR HDB,HYUNDAI,6309,100
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,CORSA SUPER,GM,6309,194
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.ANDRE,Branco,2019,CAMINHONETE,NOVA SAVEIRO RB MBVS,VW,22353,78
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,KOMBI,VW,6309,114
DE MADRUGADA,OSASCO,Via Pública,Furto (art. 155) - VEICULO,OSASCO,Cinza,0,AUTOMOVEL,DEL REY 1.8 GLX,FORD,6309,1
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão de objeto,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão de objeto,GUARULHOS,Cinza,2015,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
PELA MANHÃ,GUARULHOS,Via pública,Localização/Apreensão de objeto,S.CARLOS,Branco,2016,AUTOMOVEL,SANDERO EXPR 10,RENAULT,22353,66
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,2015,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,S.CARLOS,Branco,2016,AUTOMOVEL,SANDERO EXPR 10,RENAULT,22353,66
PELA MANHÃ,GUARULHOS,Via pública,Adulteração de sinal identificador de veículo automotor (art. 311),,,0,,,,22353,0
PELA MANHÃ,GUARULHOS,Via pública,Adulteração de sinal identificador de veículo automotor (art. 311),GUARULHOS,Cinza,2015,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,22353,319
PELA MANHÃ,GUARULHOS,Via pública,Adulteração de sinal identificador de veículo automotor (art. 311),S.CARLOS,Branco,2016,AUTOMOVEL,SANDERO EXPR 10,RENAULT,22353,66
PELA MANHÃ,JANDIRA,Via Pública,Furto (art. 155) - VEICULO,CARAPICUÍBA,Prata,0,AUTOMOVEL,VOYAGE TL MB S,VW,6309,6
PELA MANHÃ,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Verde,0,AUTOMOVEL,PALIO WK ADVEN FLEX,FIAT,6309,30
PELA MANHÃ,S.PAULO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Preta,2022,MOTOCICLO,YBR125I FACTOR ED,YAMAHA,22353,14
DE MADRUGADA,ITAQUAQUECETUBA,Estacionamento público,Furto (art. 155) - VEICULO,SÃO PAULO,Branco,0,AUTOMOVEL,UNO ATTRACTIVE 1.0,FIAT,962,126
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Preta,0,AUTOMOVEL,HB20 10M VISION,HYUNDAI,6309,27
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,0,AUTOMOVEL,MOBI LIKE,FIAT,6309,349
DE MADRUGADA,MOGI DAS CRUZES,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,MOGI DAS CRUZES,Cinza,0,AUTOMOVEL,PALIO ELX,FIAT,952,21
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Azul,0,AUTOMOVEL,HR-V EX CVT,HONDA,6309,42
A TARDE,ITAQUAQUECETUBA,Via Pública,Furto (art. 155) - VEICULO,ITAQUAQUECETUBA,Preta,0,AUTOMOVEL,ESCORT 1.0 HOBBY,FORD,6309,39
