Período Ocorrência,Cidade,Descrição Local,Rubrica,Cidade Veículo,Cor Veículo,Ano Modelo,Tipo Veículo,Modelo Veículo,Marca Veículo,contagem_descricaolocal,contagem_modelo_veic
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2016,AUTOMOVEL,208 GRIFFE A,PEUGEOT,22353,6
DE MADRUGADA,FRANCISCO MORATO,Via pública,Furto (art. 155) - VEICULO,FRANCISCO MORATO,Branco,2005,AUTOMOVEL,CLASSIC LIFE,GM,22353,29
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Branco,0,Não Informado,FOX CONNECT MB,VW,6309,167
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Prata,2016,CAMINHÃO TRATOR,P 360 A6X2,SCANIA,22353,4
A NOITE,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Prata,2016,CAMINHÃO TRATOR,P 360 A6X2,SCANIA,22353,4
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Preta,0,AUTOMOVEL,FOX 1.0 GII,VW,6309,60
PELA MANHÃ,OSASCO,Via pública,Furto (art. 155) - VEICULO,S.PAULO,Branco,2016,AUTOMOVEL,208 GRIFFE A,PEUGEOT,22353,6
PELA MANHÃ,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,0,AUTOMOVEL,ESCORT 1.8 XR3,FORD,6309,2
DE MADRUGADA,DIADEMA,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
DE MADRUGADA,DIADEMA,Via pública,Localização/Apreensão e Entrega de veículo,DIADEMA,Prata,2007,AUTOMOVEL,SIENA FIRE FLEX,FIAT,22353,37
DE MADRUGADA,DIADEMA,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
DE MADRUGADA,DIADEMA,Via pública,Furto (art. 155) - VEICULO,DIADEMA,Prata,2007,AUTOMOVEL,SIENA FIRE FLEX,FIAT,22353,37
PELA MANHÃ,S.BERNARDO DO CAMPO,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Vermelho,1994,AUTOMOVEL,UNO ELETRONIC,FIAT,22353,283
DE MADRUGADA,COTIA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,VW GOL 1.0 PLUS,I,6309,36
PELA MANHÃ,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,AUTOMOVEL,MONZA SL,GM,6309,120
PELA MANHÃ,RIBEIRAO PIRES,Via pública,Furto (art. 155) - VEICULO,CURITIBA,Prata,2021,AUTOMOVEL,VW GOL 1.0 PLUS,I,22353,36
A TARDE,OSASCO,Via Pública,Furto (art. 155) - VEICULO,COTIA,Vermelho,0,AUTOMOVEL,ONIX 1.4AT ACT,CHEVROLET,6309,155
A TARDE,JANDIRA,Via pública,Furto (art. 155) - VEICULO,JANDIRA,Azul,2021,MOTOCICLO,CG 160 TITAN,HONDA,22353,662
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,KA SE 1.5 SD C,FORD,6309,15
PELA MANHÃ,GUARULHOS,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,2011,AUTOMOVEL,IDEA SPORTING DUAL,FIAT,22353,3
A TARDE,CARAPICUIBA,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Prata,2020,AUTOMOVEL,SANDERO EXPR 10,RENAULT,22353,66
PELA MANHÃ,MAUA,Garagem ou abrigo de residência,Furto (art. 155) - VEICULO,MAUÁ,Prata,0,MOTOCICLO,SUZUKI EN125 YES,JTA,952,42
DE MADRUGADA,ITAQUAQUECETUBA,Via pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,1997,AUTOMOVEL,PALIO EDX,FIAT,22353,44
A NOITE,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Vermelho,2018,AUTOMOVEL,ONIX 10MT JOYE,CHEVROLET,22353,211
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,DIADEMA,Cinza,0,AUTOMOVEL,HB20 1.0M COMFOR,HYUNDAI,6309,319
PELA MANHÃ,S.ANDRE,Via pública,Localização/Apreensão e Entrega de veículo,,,0,,,,22353,0
PELA MANHÃ,S.ANDRE,Via pública,Localização/Apreensão e Entrega de veículo,CAMPINAS,Branco,2017,AUTOMOVEL,PALIO FIRE,FIAT,22353,44
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,,,0,,,,22353,0
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,CAMPINAS,Branco,2017,AUTOMOVEL,PALIO FIRE,FIAT,22353,44
DE MADRUGADA,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Prata,0,AUTOMOVEL,MMC L200 4WD 2.5 TURBO,I,6309,1
PELA MANHÃ,S.ANDRE,Via pública,Furto (art. 155) - VEICULO,PRAIA GRANDE,Preta,2012,AUTOMOVEL,PUNTO ATTRACTIVE,FIAT,22353,12
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,MOTOCICLO,PCX 150,HONDA,6309,234
A TARDE,GUARULHOS,Via Pública,Furto (art. 155) - VEICULO,GUARULHOS,Cinza,0,AUTOMOVEL,HR-V LX CVT,HONDA,6309,18
A TARDE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Prata,0,AUTOMOVEL,MERIVA MAXX,GM,6309,19
EM HORA INCERTA,SUZANO,Via pública,Furto (art. 155) - VEICULO,BELO HORIZONTE,Cinza,2020,AUTOMOVEL,ARGO DRIVE 1.0,FIAT,22353,368
PELA MANHÃ,TABOAO DA SERRA,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Vermelho,0,AUTOMOVEL,GOL 1000,VW,6309,68
A TARDE,ITAPEVI,Via Pública,Furto (art. 155) - VEICULO,ITAPEVI,Prata,0,AUTOMOVEL,PRISMA 1.4MT LT,CHEV,6309,127
A TARDE,ITAQUAQUECETUBA,Centro Comerc./Empresarial,Furto (art. 155) - VEICULO,SOROCABA,Preta,2014,AUTOMOVEL,COBALT 1.8 LTZ,CHEVROLET,252,42
A TARDE,S.BERNARDO DO CAMPO,Residência,Furto (art. 155) - VEICULO,S.BERNARDO DO CAMPO,Marrom,2019,AUTOMOVEL,AIRCROSS LIVE AT,CITROEN,1162,1
PELA MANHÃ,S.CAETANO DO SUL,Via Pública,Furto (art. 155) - VEICULO,SÃO CAETANO DO SUL,Preta,0,AUTOMOVEL,HYUNDAI I30 2.0,I,6309,216
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Prata,0,AUTOMOVEL,KA SE 1.0 HA C,FORD,6309,175
A NOITE,S.BERNARDO DO CAMPO,Via Pública,Furto (art. 155) - VEICULO,SÃO BERNARDO DO CAMP,Prata,0,AUTOMOVEL,ZAFIRA ELITE,GM,6309,6
A NOITE,OSASCO,Veículo em movimento,Furto (art. 155) - VEICULO,BARUERI,Preta,0,MOTOCICLO,CB 300R,HONDA,45,115
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SÃO PAULO,Prata,0,AUTOMOVEL,MMC ASX 2.0,I,6309,2
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Branco,0,MOTOCICLO,PCX 150,HONDA,6309,234
A NOITE,SUZANO,Via Pública,Furto (art. 155) - VEICULO,SUZANO,Cinza,0,AUTOMOVEL,UNO VIVACE 1.0,FIAT,6309,124
A NOITE,S.ANDRE,Via Pública,Furto (art. 155) - VEICULO,SANTO ANDRÉ,Cinza,0,AUTOMOVEL,VIRTUS HL AD,VW,6309,13
